Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,51245000.0,-18690000.0,32555000.0,-28096000.0,-23745000.0,-4351000.0,4459000.0,-11525000.0,-47351000.0,-7066000,-3494000,9990000.0,6496000,92048000,92048000,1477351000.0,63133000.0,1709058000.0,403821000.0,357265000.0,761086000.0,2470144000,243967000.0,886474000.0,574378000.0,985006000.0,1871480000,21736517000.0,-21194435000.0,598664000.0,2470144000,93353000.0,24551000.0,46065000.0,9180000.0,173149000.0,-44745000.0,11178000.0,153743000.0,-205591000.0,-279688000.0,44860000,2009-12-31,24.459999084472656,24.70000076293945,24.229999542236328,24.239999771118164,20.58342170715332,1820700.0
2010-03-31,161582000.0,-38814000.0,122768000.0,-68431000.0,-56154000.0,-12277000.0,54337000.0,-7170000.0,-11998000.0,47167000,46933000,-16924000.0,30009000,51356000,51356000,1550431000.0,58528000.0,1743440000.0,398563000.0,350185000.0,748748000.0,2492188000,180259000.0,848841000.0,575545000.0,1010901000.0,1859742000,21719523000.0,-21143079000.0,632446000.0,2492188000,52440000.0,21905000.0,10258000.0,16517000.0,101120000.0,-19898000.0,-453178000.0,-457493000.0,-36360000.0,-28609000.0,-387136000,2010-03-31,25.920000076293945,26.18000030517578,25.770000457763672,26.020000457763672,22.094911575317386,2245100.0
2010-06-30,167881000.0,-39846000.0,128035000.0,-69674000.0,-55936000.0,-13738000.0,58361000.0,-8116000.0,-11966000.0,50245000,42706000,-16121000.0,26585000,35213000,35213000,1337279000.0,16194000.0,2120243000.0,190807000.0,80915000.0,271722000.0,2391965000,165043000.0,942846000.0,575933000.0,972977000.0,1915823000,21519352000.0,-21107866000.0,476142000.0,2391965000,36374000.0,17901000.0,15548000.0,79377000.0,149200000.0,-22874000.0,-13052000.0,-39699000.0,-217581000.0,-213615000.0,-227107000,2010-06-30,26.60000038146973,27.020000457763672,26.479999542236328,26.54999923706055,22.544960021972656,4309700.0
2010-09-30,172286000.0,-39751000.0,132535000.0,-66394000.0,-51926000.0,-14468000.0,66141000.0,-7500000.0,-12140000.0,58641000,52372000,-7267000.0,45105000,784903000,784903000,2549143000.0,16826000.0,2656904000.0,191426000.0,75752000.0,267178000.0,2924082000,162997000.0,611756000.0,578262000.0,1066870000.0,1678626000,21566843000.0,-20322963000.0,1245456000.0,2924082000,785545000.0,13573000.0,-877855000.0,-3104000.0,-81841000.0,-25874000.0,-8682000.0,1113976000.0,-123851000.0,30890000.0,1197272000,2010-09-30,31.729999542236328,31.989999771118164,31.290000915527344,31.739999771118164,26.952056884765625,2771300.0
2010-12-31,178829000.0,-38265000.0,140564000.0,-70259000.0,-57078000.0,-13181000.0,70305000.0,-114143000.0,-121563000.0,-43838000,-46657000,14990000.0,-31667000,-40505000,-40505000,2060866000.0,14874000.0,2177957000.0,190319000.0,75730000.0,266049000.0,2444006000,195235000.0,652713000.0,581626000.0,1114863000.0,1767576000,21041232000.0,-20363468000.0,676430000.0,2444006000,-40505000.0,14276000.0,56521000.0,16435000.0,46727000.0,-11881000.0,1011000.0,-13694000.0,20553000.0,-533940000.0,-500567000,2010-12-31,32.950000762939446,32.959999084472656,32.65999984741211,32.669998168945305,30.18884658813477,1188300.0
2011-03-31,181523000.0,-40869000.0,140654000.0,-69614000.0,-56020000.0,-13594000.0,71040000.0,-6342000.0,-11820000.0,64698000,59168000,-16875000.0,42293000,40771000,40771000,1946840000.0,15852000.0,2060098000.0,193145000.0,77360000.0,270505000.0,2330603000,159627000.0,645089000.0,583852000.0,1140186000.0,1785275000,20869816000.0,-20322697000.0,545328000.0,2330603000,40771000.0,13968000.0,13464000.0,22084000.0,90287000.0,-15565000.0,-6770000.0,-23516000.0,-190878000.0,-187263000.0,-118802000,2011-03-31,36.47999954223633,36.540000915527344,36.18999862670898,36.209999084472656,33.459999084472656,1592300.0
2011-06-30,189844000.0,-40667000.0,149177000.0,-63459000.0,-50385000.0,-13074000.0,85718000.0,-105707000.0,-111856000.0,-19989000,-23648000,15967000.0,-7681000,-10610000,-10610000,1394750000.0,14516000.0,1525140000.0,194771000.0,75690000.0,270461000.0,1795601000,156995000.0,651764000.0,584965000.0,1148040000.0,1799804000,20331168000.0,-20333307000.0,-4203000.0,1795601000,-10610000.0,13674000.0,16323000.0,-6438000.0,12949000.0,-13916000.0,332318000.0,318402000.0,-87348000.0,-553607000.0,-220661000,2011-06-30,33.580001831054695,33.77000045776367,33.439998626708984,33.459999084472656,33.459999084472656,2708900.0
2011-09-30,196965000.0,-41694000.0,155271000.0,-63353000.0,-49865000.0,-13488000.0,91918000.0,-8206000.0,-11797000.0,83712000,80741000,-22126000.0,58615000,58916000,58916000,1234924000.0,14831000.0,1363690000.0,205304000.0,88715000.0,294019000.0,1657709000,137307000.0,639231000.0,586566000.0,1185216000.0,1824447000,20110838000.0,-20274391000.0,-166738000.0,1657709000,58916000.0,13813000.0,11273000.0,24449000.0,108451000.0,-33963000.0,142250000.0,108289000.0,-229067000.0,-229187000.0,-17377000,2011-09-30,28.56999969482422,29.209999084472656,28.32999992370605,28.61000061035156,28.61000061035156,2129300.0
2011-12-31,203646000.0,-42016000.0,161630000.0,-65405000.0,-52284000.0,-13121000.0,96225000.0,-15547000.0,-11859000.0,80678000,77326000,-31997000.0,45329000,53814000,53814000,1346209000.0,14974000.0,1447781000.0,327136000.0,81262000.0,408398000.0,1856179000,156385000.0,658923000.0,690086000.0,1285363000.0,1944286000,20135554000.0,-20220577000.0,-88107000.0,1856179000,53814000.0,14251000.0,1757000.0,54392000.0,124214000.0,-129216000.0,-767000.0,-129933000.0,7179000.0,117859000.0,110561000,2011-12-30,35.68000030517578,36.0099983215332,35.61999893188477,35.720001220703125,35.720001220703125,882200.0
2012-03-31,205726000.0,-41256000.0,164470000.0,-66088000.0,-51323000.0,-14765000.0,98382000.0,-11533000.0,-12340000.0,86849000,87397000,-21292000.0,66105000,68009000,68009000,1385843000.0,13553000.0,1473683000.0,328474000.0,80603000.0,409077000.0,1882760000,99640000.0,642616000.0,692821000.0,1311477000.0,1954093000,20084329000.0,-20152568000.0,-71333000.0,1882760000,68009000.0,12741000.0,5569000.0,23959000.0,110278000.0,-12917000.0,-22000.0,-12939000.0,-63759000.0,-60003000.0,39691000,2012-03-30,38.72999954223633,38.86000061035156,38.29999923706055,38.349998474121094,38.349998474121094,1670800.0
