Report Date,Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,1646000000.0,1646000000.0,-822000000.0,-668000000.0,-57000000.0,824000000.0,475000000.0,-30000000.0,1299000000,1299000000,-568000000.0,731000000,731000000,731000000,4247000000.0,419000000.0,9562000000.0,1170000000.0,181000000.0,21711000000.0,23062000000.0,32624000000,3316000000.0,5340000000.0,4485000000.0,9825000000,21115000000.0,1783000000.0,22801000000.0,32626000000,729000000.0,401000000.0,-449000000.0,-332000000.0,349000000.0,-69000000.0,24000000.0,-1000000.0,-79000000.0,-4000000.0,18000000.0,477000000.0,837000000,2009-06-30,15.6875,15.982500076293945,15.505000114440918,15.5649995803833,14.28294563293457,49253600.0
2009-09-30,1879000000.0,1879000000.0,-1012000000.0,-840000000.0,-61000000.0,867000000.0,-6000000.0,-25000000.0,861000000,861000000,-349000000.0,512000000,512000000,512000000,4673000000.0,444000000.0,9241000000.0,1204000000.0,168000000.0,21668000000.0,23040000000.0,32281000000,3334000000.0,4765000000.0,4323000000.0,9088000000,21160000000.0,2219000000.0,23195000000.0,32283000000,514000000.0,387000000.0,36000000.0,-1146000000.0,-209000000.0,-101000000.0,14000000.0,875000000.0,-78000000.0,-42000000.0,12000000.0,-260000000.0,417000000,2009-09-30,17.4375,17.5,17.15250015258789,17.27750015258789,15.878697395324707,30467200.0
2009-12-31,1960000000.0,1960000000.0,-743000000.0,-576000000.0,-62000000.0,1217000000.0,-9000000.0,-16000000.0,1208000000,1208000000,-445000000.0,763000000,763000000,763000000,4185000000.0,536000000.0,8753000000.0,1203000000.0,159000000.0,21600000000.0,22962000000.0,31715000000,2496000000.0,3897000000.0,4341000000.0,8238000000,20957000000.0,2691000000.0,23478000000.0,31716000000,763000000.0,436000000.0,84000000.0,-1312000000.0,-29000000.0,-37000000.0,41000000.0,22000000.0,-93000000.0,-10000000.0,-424000000.0,-452000000.0,-457000000,2009-12-31,21.9950008392334,22.045000076293945,21.792499542236328,21.864999771118164,20.125905990600586,12643600.0
2010-03-31,1959000000.0,1959000000.0,-837000000.0,-677000000.0,-62000000.0,1122000000.0,-9000000.0,-28000000.0,1113000000,1113000000,-401000000.0,712000000,713000000,713000000,4582000000.0,502000000.0,9115000000.0,1183000000.0,154000000.0,21616000000.0,22953000000.0,32068000000,2340000000.0,3733000000.0,4348000000.0,8081000000,20883000000.0,3199000000.0,23987000000.0,32068000000,712000000.0,434000000.0,105000000.0,-642000000.0,609000000.0,-41000000.0,3000000.0,30000000.0,-92000000.0,-5000000.0,-219000000.0,-243000000.0,400000000,2010-03-31,22.67499923706055,23.04999923706055,22.6299991607666,22.75749969482422,20.97891616821289,12504400.0
2010-06-30,2029000000.0,2029000000.0,-892000000.0,-726000000.0,-63000000.0,1137000000.0,-15000000.0,-13000000.0,1122000000,1122000000,-406000000.0,716000000,716000000,716000000,5234000000.0,501000000.0,9850000000.0,1185000000.0,128000000.0,21533000000.0,22846000000.0,32696000000,2206000000.0,3614000000.0,4402000000.0,8016000000,20936000000.0,3822000000.0,24680000000.0,32696000000,716000000.0,456000000.0,42000000.0,4000000.0,1218000000.0,-65000000.0,5000000.0,-62000000.0,-93000000.0,-4000000.0,15000000.0,-507000000.0,645000000,2010-06-30,17.915000915527344,18.024999618530273,17.677499771118164,17.6875,16.329410552978516,24716400.0
2010-09-30,2117000000.0,2117000000.0,-1004000000.0,-807000000.0,-78000000.0,1113000000.0,82000000.0,-15000000.0,1195000000,1195000000,-422000000.0,773000000,774000000,774000000,3991000000.0,476000000.0,8734000000.0,1357000000.0,24000000.0,23293000000.0,24674000000.0,33408000000,2169000000.0,3564000000.0,4830000000.0,8394000000,20794000000.0,4368000000.0,25014000000.0,33408000000,773000000.0,499000000.0,6000000.0,-385000000.0,893000000.0,-95000000.0,7000000.0,-1894000000.0,-90000000.0,-5000000.0,-316000000.0,-340000000.0,-1338000000,2010-09-30,18.684999465942386,18.74250030517578,18.45249938964844,18.565000534057614,17.168041229248047,23144000.0
2010-12-31,2238000000.0,2238000000.0,-872000000.0,-725000000.0,-67000000.0,1366000000.0,16000000.0,4000000.0,1382000000,1382000000,-498000000.0,884000000,884000000,884000000,3816000000.0,527000000.0,9355000000.0,1380000000.0,13000000.0,23241000000.0,24634000000.0,33989000000,2316000000.0,3679000000.0,4766000000.0,8445000000,20668000000.0,5023000000.0,25544000000.0,33989000000,884000000.0,472000000.0,105000000.0,-455000000.0,1006000000.0,-75000000.0,0.0,-73000000.0,-108000000.0,-10000000.0,-280000000.0,-1121000000.0,-183000000,2010-12-31,17.569999694824222,17.61750030517578,17.487499237060547,17.594999313354492,16.303646087646484,11102000.0
2011-03-31,2245000000.0,2245000000.0,-862000000.0,-712000000.0,-70000000.0,1383000000.0,-6000000.0,-12000000.0,1377000000,1377000000,-497000000.0,880000000,881000000,881000000,3643000000.0,538000000.0,9606000000.0,1453000000.0,7000000.0,23356000000.0,24816000000.0,34422000000,2052000000.0,3465000000.0,4803000000.0,8268000000,20583000000.0,5707000000.0,26154000000.0,34422000000,880000000.0,521000000.0,95000000.0,-893000000.0,603000000.0,-72000000.0,10000000.0,-123000000.0,-107000000.0,-5000000.0,-217000000.0,-658000000.0,-172000000,2011-03-31,18.627500534057614,18.729999542236328,18.399999618530273,18.405000686645508,17.088573455810547,18555200.0
2011-06-30,2322000000.0,2322000000.0,-977000000.0,-812000000.0,-74000000.0,1345000000.0,198000000.0,-11000000.0,1543000000,1543000000,-539000000.0,1004000000,1005000000,1005000000,3755000000.0,551000000.0,9516000000.0,1510000000.0,7000000.0,23414000000.0,24931000000.0,34447000000,2015000000.0,3531000000.0,4864000000.0,8395000000,20056000000.0,6130000000.0,26052000000.0,34447000000,1004000000.0,522000000.0,-135000000.0,4000000.0,1395000000.0,-89000000.0,-25000000.0,-229000000.0,-105000000.0,-4000000.0,-1040000000.0,-1075000000.0,88000000,2011-06-30,21.53249931335449,21.84000015258789,20.982500076293945,21.065000534057614,19.594776153564453,119880400.0
2014-12-31,3382000000.0,3382000000.0,-1144000000.0,-910000000.0,-120000000.0,2238000000.0,24000000.0,-3000000.0,2262000000,2262000000,-693000000.0,1569000000,1569000000,1569000000,4502000000.0,900000000.0,9864000000.0,1861000000.0,3028000000.0,24131000000.0,29020000000.0,38884000000,3699000000.0,5798000000.0,5144000000.0,10942000000,18200000000.0,9732000000.0,27942000000.0,38884000000,1569000000.0,833000000.0,65000000.0,-706000000.0,1761000000.0,-104000000.0,-532000000.0,-636000000.0,-297000000.0,0.0,-773000000.0,-1012000000.0,114000000,2014-12-31,66.37000274658203,66.8125,65.54499816894531,65.55000305175781,62.65520858764648,5904800.0
2015-03-31,3409000000.0,3409000000.0,-1128000000.0,-894000000.0,-125000000.0,2281000000.0,1000000.0,-7000000.0,2282000000,2282000000,-732000000.0,1550000000,1550000000,1550000000,4535000000.0,896000000.0,10105000000.0,1843000000.0,2779000000.0,24108000000.0,28730000000.0,38835000000,3377000000.0,5443000000.0,5155000000.0,10598000000,18098000000.0,10108000000.0,28237000000.0,38835000000,1550000000.0,801000000.0,146000000.0,-1519000000.0,978000000.0,-88000000.0,160000000.0,79000000.0,-294000000.0,0.0,-1036000000.0,-1103000000.0,-46000000,2015-03-31,65.47000122070311,66.20999908447266,65.38999938964844,65.41000366210939,62.63503646850586,7400500.0
2015-06-30,3518000000.0,3518000000.0,-1256000000.0,-1009000000.0,-130000000.0,2262000000.0,-94000000.0,8000000.0,2168000000,2168000000,-471000000.0,1697000000,1697000000,1697000000,4651000000.0,892000000.0,10068000000.0,1847000000.0,3300000000.0,24214000000.0,29361000000.0,39429000000,3668000000.0,5789000000.0,5013000000.0,10802000000,18008000000.0,10623000000.0,28627000000.0,39429000000,1697000000.0,800000000.0,174000000.0,-560000000.0,2111000000.0,-74000000.0,-533000000.0,-719000000.0,-294000000.0,0.0,-1033000000.0,-1284000000.0,108000000,2015-06-30,67.33999633789061,67.48000335693361,66.76000213623047,67.15000152587889,64.41376495361328,6811000.0
2015-09-30,3571000000.0,3571000000.0,-1288000000.0,-1035000000.0,-119000000.0,2283000000.0,0.0,-1000000.0,2283000000,2283000000,-771000000.0,1512000000,1512000000,1512000000,5949000000.0,847000000.0,10021000000.0,1888000000.0,3384000000.0,24074000000.0,29346000000.0,39367000000,3283000000.0,5355000000.0,4170000000.0,9525000000,18073000000.0,11843000000.0,29842000000.0,39367000000,1512000000.0,921000000.0,47000000.0,-746000000.0,1734000000.0,-138000000.0,-20000000.0,-159000000.0,-292000000.0,0.0,14000000.0,-204000000.0,1371000000,2015-09-30,69.31999969482422,69.66000366210939,68.26000213623047,69.66000366210939,66.93096923828125,9309200.0
2015-12-31,3565000000.0,3565000000.0,-1169000000.0,-921000000.0,-120000000.0,2396000000.0,243000000.0,-29000000.0,2639000000,2639000000,-698000000.0,1941000000,1941000000,1941000000,21265000000.0,922000000.0,25473000000.0,1884000000.0,3487000000.0,24133000000.0,29504000000.0,54977000000,3200000000.0,5357000000.0,20144000000.0,25501000000,17824000000.0,11701000000.0,29476000000.0,54977000000,1941000000.0,908000000.0,-202000000.0,-668000000.0,1979000000.0,-126000000.0,-6064000000.0,-6194000000.0,-340000000.0,15971000000.0,-1986000000.0,13534000000.0,9319000000,2015-12-31,78.23999786376953,78.80000305175781,77.55000305175781,77.55000305175781,74.64578247070312,6538300.0
2016-03-31,3626000000.0,3626000000.0,-1192000000.0,-945000000.0,-121000000.0,2434000000.0,7000000.0,-132000000.0,2441000000,2441000000,-734000000.0,1707000000,1707000000,1707000000,19828000000.0,944000000.0,24303000000.0,1883000000.0,3577000000.0,24563000000.0,30023000000.0,54326000000,2943000000.0,5125000000.0,20070000000.0,25195000000,17645000000.0,11582000000.0,29131000000.0,54326000000,1707000000.0,910000000.0,-11000000.0,-1766000000.0,840000000.0,-124000000.0,4487000000.0,4348000000.0,-336000000.0,0.0,-1730000000.0,-2082000000.0,3106000000,2016-03-31,76.62000274658203,76.91999816894531,75.94999694824219,76.4800033569336,73.7610855102539,7490800.0
2016-06-30,3630000000.0,3630000000.0,-1325000000.0,-1082000000.0,-120000000.0,2305000000.0,-6000000.0,-131000000.0,2299000000,422000000,-10000000.0,412000000,412000000,412000000,8683000000.0,1066000000.0,14374000000.0,2136000000.0,3762000000.0,43595000000.0,49493000000.0,63867000000,4798000000.0,8992000000.0,22048000000.0,31040000000,17514000000.0,10334000000.0,32827000000.0,63867000000,412000000.0,959000000.0,-501000000.0,-567000000.0,303000000.0,-132000000.0,887000000.0,-8313000000.0,-335000000.0,0.0,-1685000000.0,-1984000000.0,-10056000000,2016-06-30,76.98999786376953,77.13999938964844,73.80000305175781,74.16999816894531,71.65987396240234,24877300.0
2016-09-30,4261000000.0,4261000000.0,-1636000000.0,-1334000000.0,-141000000.0,2625000000.0,-115000000.0,-135000000.0,2510000000,2510000000,-579000000.0,1931000000,1931000000,1931000000,8867000000.0,1041000000.0,14313000000.0,2150000000.0,3931000000.0,43641000000.0,49722000000.0,64035000000,5069000000.0,9271000000.0,21852000000.0,31123000000,17395000000.0,10462000000.0,32912000000.0,64035000000,1931000000.0,1134000000.0,-92000000.0,-521000000.0,2452000000.0,-141000000.0,-617000000.0,-757000000.0,-339000000.0,-15971000000.0,14310000000.0,-1991000000.0,-268000000,2016-09-30,82.16000366210938,83.04000091552734,81.68000030517578,82.69999694824219,80.03987121582031,9776800.0
