Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,4534000000.0,-3773000000.0,761000000.0,-408000000.0,-401000000.0,-7000000.0,353000000.0,-124000000.0,-55000000.0,229000000,-22000000.0,207000000,8000000.0,215000000,205000000,205000000,850000000.0,2382000000.0,2676000000.0,6861000000.0,2970000000.0,4901000000.0,7871000000.0,14732000000,4476000000.0,310000000.0,5905000000.0,2195000000.0,5036000000.0,10941000000,2250000000.0,-1823000000.0,4496000000.0,3791000000.0,14732000000,215000000.0,139000000.0,23000000.0,-278000000.0,99000000.0,-113000000.0,-13000000.0,-126000000.0,-33000000.0,-318000000.0,65000000.0,-290000000.0,-341000000,2010-06-30,89.87000274658203,90.81999969482422,87.58000183105469,87.81999969482422,65.98652648925781,1734700.0
2010-09-30,4519000000.0,-3871000000.0,648000000.0,-398000000.0,-391000000.0,-7000000.0,250000000.0,-158000000.0,-54000000.0,92000000,-16000000.0,76000000,7000000.0,83000000,79000000,79000000,901000000.0,2552000000.0,3084000000.0,7458000000.0,3077000000.0,5064000000.0,8141000000.0,15599000000,4818000000.0,311000000.0,6321000000.0,2197000000.0,5149000000.0,11470000000,2253000000.0,-1823000000.0,4542000000.0,4129000000.0,15599000000,83000000.0,141000000.0,1000000.0,-18000000.0,207000000.0,-120000000.0,0.0,-147000000.0,-33000000.0,-10000000.0,0.0,-51000000.0,51000000,2010-09-30,81.69999694824219,82.4800033569336,78.5199966430664,80.95999908447266,61.18194198608398,3054800.0
2010-12-31,5041000000.0,-4375000000.0,666000000.0,-448000000.0,-441000000.0,-7000000.0,218000000.0,-70000000.0,-58000000.0,148000000,-16000000.0,132000000,46000000.0,178000000,171000000,171000000,1368000000.0,2278000000.0,2792000000.0,7315000000.0,3134000000.0,5135000000.0,8269000000.0,15584000000,4757000000.0,312000000.0,6149000000.0,2195000000.0,5115000000.0,11264000000,2262000000.0,-1823000000.0,4680000000.0,4320000000.0,15584000000,178000000.0,141000000.0,10000000.0,372000000.0,701000000.0,-183000000.0,0.0,-183000000.0,-33000000.0,-17000000.0,0.0,-64000000.0,467000000,2010-12-31,89.68000030517578,89.80999755859375,88.68000030517578,88.83000183105469,67.52068328857422,670100.0
2011-03-31,4401000000.0,-3778000000.0,623000000.0,-387000000.0,-380000000.0,-7000000.0,236000000.0,-74000000.0,-54000000.0,162000000,-8000000.0,154000000,24000000.0,178000000,169000000,169000000,1026000000.0,2347000000.0,2938000000.0,7201000000.0,3174000000.0,5234000000.0,8408000000.0,15609000000,4489000000.0,313000000.0,5937000000.0,2193000000.0,5100000000.0,11037000000,2277000000.0,-1823000000.0,4816000000.0,4572000000.0,15609000000,178000000.0,141000000.0,5000000.0,-548000000.0,-224000000.0,-112000000.0,-7000000.0,-119000000.0,-33000000.0,-4000000.0,8000000.0,-29000000.0,-342000000,2011-03-31,83.94999694824219,87.19000244140625,83.94999694824219,85.36000061035156,65.22670745849611,2640900.0
2011-06-30,4730000000.0,-4061000000.0,669000000.0,-432000000.0,-425000000.0,-7000000.0,237000000.0,-593000000.0,-55000000.0,-356000000,-14000000.0,-370000000,206000000.0,-164000000,-161000000,-161000000,845000000.0,2455000000.0,3071000000.0,7215000000.0,3213000000.0,5486000000.0,8699000000.0,15914000000,5401000000.0,363000000.0,6869000000.0,2143000000.0,4546000000.0,11415000000,2290000000.0,-1822000000.0,4617000000.0,4499000000.0,15914000000,-164000000.0,145000000.0,439000000.0,-430000000.0,-10000000.0,-127000000.0,0.0,-158000000.0,-38000000.0,11000000.0,6000000.0,-29000000.0,-181000000,2011-06-30,80.79000091552734,81.5199966430664,80.38999938964844,81.31999969482422,62.510108947753906,1094900.0
2011-09-30,4625000000.0,-4052000000.0,573000000.0,-401000000.0,-394000000.0,-7000000.0,172000000.0,-78000000.0,-51000000.0,94000000,-36000000.0,58000000,123000000.0,181000000,177000000,177000000,511000000.0,2261000000.0,2864000000.0,6460000000.0,3081000000.0,5462000000.0,8543000000.0,15003000000,4846000000.0,361000000.0,6243000000.0,2133000000.0,4423000000.0,10666000000,2295000000.0,-1821000000.0,4755000000.0,4337000000.0,15003000000,181000000.0,136000000.0,-300000000.0,-125000000.0,-108000000.0,-158000000.0,0.0,-131000000.0,-39000000.0,-3000000.0,0.0,-46000000.0,-334000000,2011-09-30,50.09000015258789,51.5,49.52000045776367,49.90999984741211,38.70408248901367,1537100.0
2011-12-31,4910000000.0,-4198000000.0,712000000.0,-429000000.0,-422000000.0,-7000000.0,283000000.0,-75000000.0,-53000000.0,208000000,-78000000.0,130000000,83000000.0,213000000,205000000,205000000,1109000000.0,2105000000.0,2354000000.0,6422000000.0,3102000000.0,5657000000.0,8759000000.0,15181000000,4892000000.0,361000000.0,6297000000.0,2129000000.0,4604000000.0,10901000000,2307000000.0,-1822000000.0,4922000000.0,4280000000.0,15181000000,213000000.0,136000000.0,19000000.0,504000000.0,872000000.0,-188000000.0,0.0,-188000000.0,-38000000.0,-19000000.0,0.0,-62000000.0,598000000,2011-12-30,47.59000015258789,47.88000106811523,47.25,47.45000076293945,37.14386749267578,1682900.0
2012-12-31,4791000000.0,-3979000000.0,812000000.0,-492000000.0,-485000000.0,-7000000.0,320000000.0,-84000000.0,-49000000.0,236000000,-62000000.0,174000000,-46000000.0,128000000,122000000,122000000,1168000000.0,2038000000.0,2354000000.0,6827000000.0,3034000000.0,5535000000.0,8569000000.0,15396000000,4809000000.0,510000000.0,6510000000.0,1944000000.0,4519000000.0,11029000000,2421000000.0,-1777000000.0,5147000000.0,4367000000.0,15396000000,128000000.0,126000000.0,-13000000.0,616000000.0,857000000.0,-192000000.0,-28000000.0,-220000000.0,-39000000.0,7000000.0,29000000.0,13000000.0,650000000,2012-12-31,98.95999908447266,102.0,98.7699966430664,101.75,81.81138610839844,810300.0
2013-12-31,5090000000.0,-4181000000.0,909000000.0,-500000000.0,-494000000.0,-6000000.0,409000000.0,-126000000.0,-44000000.0,283000000,-55000000.0,228000000,-41000000.0,187000000,181000000,181000000,1380000000.0,2005000000.0,2408000000.0,7022000000.0,3041000000.0,5481000000.0,8522000000.0,15544000000,5016000000.0,607000000.0,6794000000.0,1846000000.0,3716000000.0,10510000000,2562000000.0,-2124000000.0,5784000000.0,5034000000.0,15544000000,187000000.0,143000000.0,0.0,690000000.0,1020000000.0,-258000000.0,-6000000.0,-229000000.0,-48000000.0,21000000.0,-335000000.0,-215000000.0,554000000,2013-12-31,157.07000732421875,157.5,156.35000610351562,156.86000061035156,128.498046875,340500.0
2014-03-31,4363000000.0,-3608000000.0,755000000.0,-445000000.0,-439000000.0,-6000000.0,310000000.0,-67000000.0,-44000000.0,243000000,-29000000.0,214000000,-50000000.0,164000000,160000000,160000000,1672000000.0,2080000000.0,2666000000.0,7583000000.0,3054000000.0,5403000000.0,8457000000.0,16040000000,4761000000.0,610000000.0,6454000000.0,2662000000.0,4373000000.0,10827000000,2583000000.0,-2124000000.0,5896000000.0,5213000000.0,16040000000,164000000.0,127000000.0,0.0,-630000000.0,-339000000.0,-117000000.0,-21000000.0,-138000000.0,-48000000.0,807000000.0,11000000.0,770000000.0,292000000,2014-03-31,147.5800018310547,149.57000732421875,146.8300018310547,149.4600067138672,122.98223114013672,909500.0
