Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2008-10-31,98345000000.0,-73621000000.0,24724000000.0,-19432000000.0,-19432000000.0,5292000000.0,-456000000.0,-456000000.0,4836000000,4836000000,-1690000000.0,3146000000,3138000000,3138000000,5920000000.0,3250000000.0,40416000000.0,53093000000.0,93706000000.0,21044000000.0,114750000000.0,167843000000,47473000000.0,12999000000.0,60624000000.0,34071000000.0,39646000000.0,100270000000,4219000000.0,59809000000.0,67573000000.0,167843000000,3145000000.0,1688000000.0,418000000.0,-4989000000.0,262000000.0,-2813000000.0,838000000.0,-2270000000.0,-936000000.0,3505000000.0,-1337000000.0,1333000000.0,-1021000000,2008-10-31,55.0,56.77000045776367,54.27000045776367,55.81000137329102,41.24794006347656,26031500.0
2009-01-31,108627000000.0,-81830000000.0,26797000000.0,-20451000000.0,-20451000000.0,6346000000.0,-492000000.0,-492000000.0,5854000000,5854000000,-1947000000.0,3907000000,3773000000,3773000000,7275000000.0,3905000000.0,34511000000.0,48949000000.0,92856000000.0,21624000000.0,114480000000.0,163429000000,47638000000.0,7669000000.0,55390000000.0,34549000000.0,40563000000.0,95953000000,4313000000.0,63660000000.0,67476000000.0,163429000000,3907000000.0,1685000000.0,696000000.0,6433000000.0,12721000000.0,-3390000000.0,-1502000000.0,-3945000000.0,-932000000.0,-6371000000.0,0.0,-6871000000.0,1355000000,2009-01-30,48.0,48.29999923706055,46.91999816894531,47.11999893188477,34.976024627685554,20614700.0
2010-07-31,103726000000.0,-77438000000.0,26288000000.0,-20098000000.0,-20098000000.0,6190000000.0,-485000000.0,-485000000.0,5705000000,5705000000,-1958000000.0,3747000000,3596000000,3596000000,10195000000.0,4531000000.0,34793000000.0,53045000000.0,101111000000.0,22788000000.0,123899000000.0,176944000000,55049000000.0,10531000000.0,65655000000.0,38702000000.0,44070000000.0,109725000000,3999000000.0,61746000000.0,67219000000.0,176944000000,3747000000.0,1884000000.0,534000000.0,2881000000.0,9046000000.0,-2988000000.0,-108000000.0,-3345000000.0,-1124000000.0,1681000000.0,-4145000000.0,-3881000000.0,1679000000,2010-07-30,50.61000061035156,51.25,50.5,51.18999862670898,39.268646240234375,13551400.0
2010-10-31,101952000000.0,-75819000000.0,26133000000.0,-20522000000.0,-20522000000.0,5611000000.0,-516000000.0,-516000000.0,5095000000,5095000000,-1505000000.0,3590000000,3436000000,3436000000,10616000000.0,4374000000.0,41059000000.0,59568000000.0,103812000000.0,23510000000.0,127322000000.0,186890000000,55435000000.0,12895000000.0,68407000000.0,43899000000.0,50096000000.0,118503000000,3969000000.0,61451000000.0,68387000000.0,186890000000,3590000000.0,1887000000.0,1013000000.0,-4244000000.0,2246000000.0,-3649000000.0,-24000000.0,-3708000000.0,-1101000000.0,6712000000.0,-3860000000.0,1715000000.0,421000000,2010-10-29,54.040000915527344,54.59000015258789,53.61000061035156,54.16999816894531,41.79717254638672,8032900.0
2011-01-31,116360000000.0,-87071000000.0,29289000000.0,-21285000000.0,-21285000000.0,8004000000.0,-532000000.0,-532000000.0,7472000000,7472000000,-2294000000.0,5178000000,6056000000,6056000000,7395000000.0,5089000000.0,36437000000.0,52012000000.0,105098000000.0,23672000000.0,128770000000.0,180782000000,52534000000.0,6022000000.0,58603000000.0,43842000000.0,50524000000.0,109127000000,3929000000.0,63967000000.0,71655000000.0,180782000000,5178000000.0,2006000000.0,887000000.0,3307000000.0,11378000000.0,-3133000000.0,-70000000.0,-2904000000.0,-1076000000.0,-6807000000.0,-3804000000.0,-11698000000.0,-3221000000,2011-01-31,56.45000076293945,56.56000137329102,55.70000076293945,56.06999969482422,43.50246047973633,15688500.0
2011-07-31,109366000000.0,-81770000000.0,27596000000.0,-21213000000.0,-21213000000.0,6383000000.0,-578000000.0,-578000000.0,5805000000,5805000000,-1868000000.0,3937000000,3801000000,3801000000,8102000000.0,5265000000.0,38867000000.0,55630000000.0,108729000000.0,29513000000.0,138242000000.0,193872000000,56186000000.0,8626000000.0,64840000000.0,48452000000.0,55756000000.0,120596000000,3876000000.0,62779000000.0,73276000000.0,193872000000,3937000000.0,2042000000.0,485000000.0,1270000000.0,7734000000.0,-3264000000.0,-3501000000.0,-7023000000.0,-1267000000.0,1098000000.0,-1411000000.0,-1872000000.0,-1298000000,2011-07-29,52.77999877929688,53.1500015258789,52.66999816894531,52.709999084472656,41.45469665527344,13193200.0
2011-10-31,110226000000.0,-82591000000.0,27635000000.0,-21757000000.0,-21757000000.0,5878000000.0,-535000000.0,-535000000.0,5343000000,5343000000,-1842000000.0,3501000000,3336000000,3336000000,7063000000.0,4757000000.0,44340000000.0,59476000000.0,107729000000.0,28039000000.0,135768000000.0,195244000000,56132000000.0,11385000000.0,67544000000.0,47851000000.0,55936000000.0,123480000000,3769000000.0,64769000000.0,71764000000.0,195244000000,3501000000.0,2040000000.0,1091000000.0,-3426000000.0,3206000000.0,-3630000000.0,-36000000.0,-3922000000.0,-1259000000.0,2911000000.0,-1417000000.0,-78000000.0,-1039000000,2011-10-31,56.58000183105469,57.290000915527344,56.58000183105469,56.72000122070313,44.93113708496094,9480900.0
2012-01-31,122728000000.0,-92455000000.0,30273000000.0,-21939000000.0,-21939000000.0,8334000000.0,-528000000.0,-528000000.0,7806000000,7806000000,-2414000000.0,5392000000,5163000000,5163000000,6550000000.0,5937000000.0,40714000000.0,54975000000.0,109603000000.0,28828000000.0,138431000000.0,193406000000,55952000000.0,6348000000.0,62300000000.0,47079000000.0,54941000000.0,117241000000,4034000000.0,68691000000.0,76165000000.0,193406000000,5392000000.0,2039000000.0,151000000.0,3759000000.0,11341000000.0,-3741000000.0,-11000000.0,-3795000000.0,-1248000000.0,-5816000000.0,-1341000000.0,-8174000000.0,-513000000,2012-01-31,61.52999877929688,61.56999969482422,60.58000183105469,61.36000061035156,48.91044998168945,9761500.0
2012-10-31,113800000000.0,-85470000000.0,28330000000.0,-22237000000.0,-22237000000.0,6093000000.0,-546000000.0,-546000000.0,5547000000,5547000000,-1738000000.0,3809000000,3635000000,3635000000,8643000000.0,5567000000.0,47487000000.0,63431000000.0,112561000000.0,29826000000.0,142387000000.0,205818000000,61199000000.0,15621000000.0,76845000000.0,41836000000.0,49880000000.0,126725000000,4197000000.0,70256000000.0,79093000000.0,205818000000,3786000000.0,2071000000.0,980000000.0,-2525000000.0,4312000000.0,-3214000000.0,-716000000.0,-3654000000.0,-1336000000.0,2638000000.0,-1228000000.0,84000000.0,708000000,2012-10-31,75.25,75.68000030517578,74.12999725341797,75.0199966430664,60.93547058105469,6551200.0
2013-01-31,127559000000.0,-96006000000.0,31553000000.0,-23006000000.0,-23006000000.0,8547000000.0,-477000000.0,-477000000.0,8070000000,8070000000,-2230000000.0,5840000000,5606000000,5606000000,8855000000.0,6191000000.0,43138000000.0,60176000000.0,113692000000.0,28319000000.0,142011000000.0,202187000000,61019000000.0,12533000000.0,73552000000.0,44551000000.0,52245000000.0,125797000000,3728000000.0,68489000000.0,76390000000.0,202187000000,5863000000.0,2174000000.0,52000000.0,1595000000.0,9684000000.0,-3788000000.0,716000000.0,-3285000000.0,-1327000000.0,-2773000000.0,-2943000000.0,-7252000000.0,-862000000,2013-01-31,69.69000244140625,70.44000244140625,69.69000244140625,69.94999694824219,57.13262176513672,7016200.0
