Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-03-31,1090000000.0,-402000000.0,688000000.0,-462000000.0,-357000000.0,-90000000.0,-15000000.0,226000000.0,-27000000.0,-22000000.0,199000000,-7000000.0,192000000,-52000000.0,140000000,140000000,140000000,468000000.0,861000000.0,1120000000.0,2942000000.0,1237000000.0,1963000000.0,3200000000.0,6142000000,489000000.0,1287000000.0,3640000000.0,4131000000.0,5418000000,817000000.0,13000000.0,724000000.0,6142000000,140000000.0,51000000.0,22000000.0,68000000.0,281000000.0,-22000000.0,-22000000.0,0.0,-108000000.0,151000000,2013-03-28,32.84999847412109,33.5,32.630001068115234,33.400001525878906,31.450763702392567,7434900.0
2013-06-30,1114000000.0,-416000000.0,698000000.0,-509000000.0,-399000000.0,-95000000.0,-15000000.0,189000000.0,-22000000.0,-32000000.0,167000000,20000000.0,187000000,-59000000.0,128000000,128000000,128000000,369000000.0,1137000000.0,1257000000.0,3082000000.0,1252000000.0,1927000000.0,3179000000.0,6261000000,860000000.0,1321000000.0,3640000000.0,4117000000.0,5438000000,874000000.0,109000000.0,823000000.0,6261000000,128000000.0,51000000.0,-8000000.0,-183000000.0,-12000000.0,-52000000.0,-52000000.0,-33000000.0,-32000000.0,-99000000,2013-06-28,30.899999618530273,31.38999938964844,30.540000915527344,30.88999938964844,29.1452693939209,19415100.0
2013-09-30,1103000000.0,-385000000.0,718000000.0,-507000000.0,-399000000.0,-93000000.0,-15000000.0,211000000.0,-23000000.0,-29000000.0,188000000,-3000000.0,185000000,-54000000.0,131000000,131000000,131000000,389000000.0,1110000000.0,1290000000.0,3083000000.0,1252000000.0,1924000000.0,3176000000.0,6259000000,820000000.0,1308000000.0,3642000000.0,4085000000.0,5393000000,881000000.0,207000000.0,866000000.0,6259000000,131000000.0,49000000.0,-19000000.0,-47000000.0,114000000.0,-54000000.0,-54000000.0,-32000000.0,-32000000.0,20000000,2013-09-30,31.10000038146973,31.31999969482422,30.93000030517578,31.1200008392334,29.42585182189941,2890400.0
2013-12-31,1254000000.0,-466000000.0,788000000.0,-594000000.0,-458000000.0,-121000000.0,-15000000.0,194000000.0,-32000000.0,-30000000.0,162000000,-36000000.0,126000000,-22000000.0,104000000,105000000,105000000,610000000.0,1138000000.0,1293000000.0,3357000000.0,1295000000.0,1906000000.0,3201000000.0,6558000000,1381000000.0,1415000000.0,3642000000.0,4181000000.0,5596000000,883000000.0,276000000.0,962000000.0,6558000000,104000000.0,58000000.0,99000000.0,37000000.0,298000000.0,-47000000.0,-51000000.0,-33000000.0,-28000000.0,221000000,2013-12-31,32.799999237060554,32.810001373291016,32.459999084472656,32.689998626708984,30.97323989868164,2270400.0
2014-03-31,1097000000.0,-379000000.0,718000000.0,-458000000.0,-356000000.0,-87000000.0,-15000000.0,260000000.0,-30000000.0,-29000000.0,230000000,-3000000.0,227000000,-72000000.0,155000000,155000000,155000000,506000000.0,1100000000.0,1316000000.0,3222000000.0,1292000000.0,1889000000.0,3181000000.0,6403000000,660000000.0,1127000000.0,3642000000.0,4177000000.0,5304000000,911000000.0,395000000.0,1099000000.0,6403000000,155000000.0,50000000.0,10000000.0,-238000000.0,-23000000.0,-45000000.0,-45000000.0,-36000000.0,-35000000.0,-104000000,2014-03-31,29.06999969482422,29.13999938964844,28.65999984741211,28.940000534057607,27.483272552490234,8689200.0
2014-06-30,1158000000.0,-413000000.0,745000000.0,-503000000.0,-396000000.0,-92000000.0,-15000000.0,242000000.0,-37000000.0,-29000000.0,205000000,-5000000.0,200000000,-61000000.0,139000000,136000000,136000000,578000000.0,1098000000.0,1336000000.0,3327000000.0,1309000000.0,1886000000.0,3195000000.0,6522000000,606000000.0,1061000000.0,3642000000.0,4178000000.0,5239000000,928000000.0,531000000.0,1283000000.0,6522000000,139000000.0,51000000.0,-12000000.0,-19000000.0,159000000.0,-50000000.0,-50000000.0,-37000000.0,-39000000.0,72000000,2014-06-30,32.450000762939446,32.72999954223633,32.11999893188477,32.27000045776367,30.720916748046875,1847300.0
2014-09-30,1210000000.0,-434000000.0,776000000.0,-503000000.0,-394000000.0,-93000000.0,-16000000.0,273000000.0,-33000000.0,-29000000.0,240000000,-2000000.0,238000000,-71000000.0,167000000,166000000,166000000,598000000.0,1057000000.0,1388000000.0,3353000000.0,1313000000.0,1861000000.0,3174000000.0,6527000000,546000000.0,998000000.0,3642000000.0,4140000000.0,5138000000,943000000.0,661000000.0,1389000000.0,6527000000,167000000.0,50000000.0,-34000000.0,-80000000.0,103000000.0,-41000000.0,-42000000.0,-36000000.0,-38000000.0,20000000,2014-09-30,37.04999923706055,37.11000061035156,36.77000045776367,36.95000076293945,35.25159072875977,3412900.0
2014-12-31,1320000000.0,-491000000.0,829000000.0,-635000000.0,-497000000.0,-124000000.0,-14000000.0,194000000.0,-24000000.0,-30000000.0,170000000,-15000000.0,155000000,-29000000.0,126000000,126000000,126000000,882000000.0,980000000.0,1289000000.0,3465000000.0,1318000000.0,1805000000.0,3123000000.0,6588000000,1071000000.0,1086000000.0,3624000000.0,4165000000.0,5251000000,963000000.0,709000000.0,1337000000.0,6588000000,126000000.0,53000000.0,120000000.0,88000000.0,387000000.0,-50000000.0,-50000000.0,-37000000.0,-42000000.0,284000000,2014-12-31,43.459999084472656,43.88000106811523,43.0,43.02999877929688,41.13182067871094,2131900.0
2015-03-31,1102000000.0,-394000000.0,708000000.0,-449000000.0,-354000000.0,-80000000.0,-15000000.0,259000000.0,-28000000.0,-28000000.0,231000000,-1000000.0,230000000,-65000000.0,165000000,165000000,165000000,559000000.0,905000000.0,1346000000.0,3110000000.0,1301000000.0,2019000000.0,3320000000.0,6430000000,938000000.0,1370000000.0,3243000000.0,3755000000.0,5125000000,974000000.0,832000000.0,1305000000.0,6430000000,165000000.0,48000000.0,30000000.0,-183000000.0,60000000.0,-44000000.0,-274000000.0,-42000000.0,-94000000.0,-323000000,2015-03-31,46.7599983215332,46.93000030517578,46.290000915527344,46.290000915527344,44.33120346069336,2768400.0
2015-06-30,1175000000.0,-427000000.0,748000000.0,-478000000.0,-379000000.0,-84000000.0,-15000000.0,270000000.0,-31000000.0,-29000000.0,239000000,-266000000.0,-27000000,-9000000.0,-36000000,-37000000,-37000000,544000000.0,993000000.0,1417000000.0,3316000000.0,1295000000.0,1987000000.0,3282000000.0,6598000000,1129000000.0,1572000000.0,3243000000.0,3824000000.0,5396000000,985000000.0,795000000.0,1202000000.0,6598000000,-36000000.0,50000000.0,228000000.0,-120000000.0,122000000.0,-45000000.0,-44000000.0,-43000000.0,-91000000.0,-15000000,2015-06-30,47.66999816894531,48.61000061035156,47.209999084472656,48.22000122070313,46.262428283691406,4268800.0
2015-09-30,1214000000.0,-421000000.0,793000000.0,-480000000.0,-374000000.0,-91000000.0,-15000000.0,313000000.0,-27000000.0,-29000000.0,286000000,-13000000.0,273000000,-83000000.0,190000000,189000000,189000000,592000000.0,1038000000.0,1403000000.0,3450000000.0,1293000000.0,1943000000.0,3236000000.0,6686000000,1193000000.0,1658000000.0,3226000000.0,3774000000.0,5432000000,998000000.0,943000000.0,1254000000.0,6686000000,190000000.0,46000000.0,19000000.0,-51000000.0,204000000.0,-52000000.0,-60000000.0,-42000000.0,-86000000.0,48000000,2015-09-30,40.63000106811523,41.22000122070313,40.349998474121094,41.18000030517578,39.576114654541016,4954100.0
2015-12-31,1274000000.0,-496000000.0,778000000.0,-550000000.0,-425000000.0,-109000000.0,-16000000.0,228000000.0,-119000000.0,-38000000.0,109000000,-40000000.0,69000000,-49000000.0,20000000,22000000,22000000,1154000000.0,937000000.0,1467000000.0,3830000000.0,1307000000.0,2776000000.0,4083000000.0,7913000000,1313000000.0,1781000000.0,4463000000.0,5041000000.0,6822000000,1017000000.0,876000000.0,1091000000.0,7913000000,20000000.0,55000000.0,57000000.0,146000000.0,278000000.0,-81000000.0,-737000000.0,-41000000.0,1026000000.0,562000000,2015-12-31,47.93000030517578,48.4000015258789,47.81000137329102,47.91999816894531,46.14015579223633,1768500.0
2016-03-31,1162000000.0,-389000000.0,773000000.0,-426000000.0,-315000000.0,-90000000.0,-21000000.0,347000000.0,-13000000.0,-43000000.0,334000000,-2000000.0,332000000,-128000000.0,204000000,204000000,204000000,675000000.0,908000000.0,1461000000.0,3307000000.0,1317000000.0,2829000000.0,4146000000.0,7453000000,1095000000.0,1163000000.0,4464000000.0,5103000000.0,6266000000,1012000000.0,1016000000.0,1187000000.0,7453000000,204000000.0,57000000.0,-29000000.0,-181000000.0,51000000.0,30000000.0,18000000.0,-47000000.0,-543000000.0,-479000000,2016-03-31,43.400001525878906,44.54999923706055,43.25,44.33000183105469,42.77718353271485,6326700.0
2016-06-30,1208000000.0,-399000000.0,809000000.0,-453000000.0,-343000000.0,-88000000.0,-22000000.0,356000000.0,-45000000.0,-41000000.0,311000000,21000000.0,332000000,-108000000.0,224000000,224000000,224000000,658000000.0,888000000.0,1525000000.0,3328000000.0,1341000000.0,2849000000.0,4190000000.0,7518000000,998000000.0,1039000000.0,4465000000.0,5108000000.0,6147000000,1015000000.0,1190000000.0,1371000000.0,7518000000,224000000.0,60000000.0,64000000.0,-211000000.0,137000000.0,-41000000.0,-49000000.0,-47000000.0,-108000000.0,-17000000,2016-06-30,47.18999862670898,47.52999877929688,46.97000122070313,47.459999084472656,45.989013671875,3769000.0
2016-09-30,1241000000.0,-410000000.0,831000000.0,-456000000.0,-345000000.0,-90000000.0,-21000000.0,375000000.0,-38000000.0,-41000000.0,337000000,-4000000.0,333000000,-96000000.0,237000000,239000000,239000000,651000000.0,915000000.0,1563000000.0,3364000000.0,1382000000.0,2969000000.0,4351000000.0,7715000000,997000000.0,1039000000.0,4467000000.0,5078000000.0,6117000000,1019000000.0,1423000000.0,1598000000.0,7715000000,237000000.0,60000000.0,-19000000.0,-39000000.0,239000000.0,-56000000.0,-124000000.0,-47000000.0,-124000000.0,-7000000,2016-09-30,51.13999938964844,52.11999893188477,50.95000076293945,52.0099983215332,50.39799499511719,3971600.0
2016-12-31,1277000000.0,-468000000.0,809000000.0,-490000000.0,-361000000.0,-108000000.0,-21000000.0,319000000.0,-68000000.0,-41000000.0,251000000,-20000000.0,231000000,-77000000.0,154000000,154000000,154000000,727000000.0,913000000.0,1502000000.0,3390000000.0,1381000000.0,2878000000.0,4259000000.0,7649000000,1076000000.0,1117000000.0,4468000000.0,5033000000.0,6150000000,1029000000.0,1477000000.0,1499000000.0,7649000000,154000000.0,63000000.0,77000000.0,-8000000.0,286000000.0,-59000000.0,-59000000.0,-47000000.0,-128000000.0,76000000,2016-12-30,53.63999938964844,53.7400016784668,53.27000045776367,53.52999877929688,51.97416687011719,1701200.0
