Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,16.5,15.9375,16.0,5.47548246383667,69200.0
1973-02-22,0.0,16.0,15.8125,15.8125,5.411318778991699,79600.0
1973-02-23,0.0,15.9375,15.0625,15.25,5.218819618225098,158000.0
1973-02-26,0.0,15.25,15.0,15.25,5.218819618225098,50200.0
1973-02-27,0.0,15.375,14.875,14.875,5.090488433837891,17800.0
1973-02-28,0.0,15.375,15.0,15.125,5.176041603088379,103800.0
1973-03-01,0.0,15.25,15.0,15.1875,5.19743013381958,81000.0
1973-03-02,0.0,15.1875,14.875,15.1875,5.19743013381958,16600.0
1973-03-05,0.0,15.4375,15.125,15.25,5.218819618225098,10200.0
1973-03-06,0.0,16.125,15.375,15.875,5.432704925537109,47000.0
1973-03-07,0.0,16.1875,15.625,16.1875,5.539648056030273,43200.0
1973-03-08,0.0,16.3125,16.125,16.3125,5.582426071166992,12600.0
1973-03-09,0.0,16.3125,16.1875,16.1875,5.539648056030273,10800.0
1973-03-12,0.0,16.3125,16.0,16.3125,5.582426071166992,8400.0
1973-03-13,0.0,16.6875,16.375,16.6875,5.710759162902832,18600.0
1973-03-14,0.0,17.0,16.8125,17.0,5.817699432373047,43400.0
1973-03-15,0.0,17.0,16.6875,16.8125,5.753537178039551,11800.0
1973-03-16,0.0,16.75,16.1875,16.375,5.603814601898193,69200.0
1973-03-19,0.0,16.25,15.625,15.625,5.347155570983887,8200.0
1973-03-20,0.0,15.5,15.125,15.5,5.304377555847168,76400.0
1973-03-21,0.0,15.625,15.25,15.25,5.218819618225098,11000.0
1973-03-22,0.0,15.375,15.125,15.125,5.176041603088379,13400.0
1973-03-23,0.0,15.1875,15.0,15.0625,5.1546525955200195,30400.0
1973-03-26,0.0,15.1875,15.0,15.1875,5.19743013381958,26400.0
1973-03-27,0.0,16.375,15.25,16.125,5.518258571624756,30200.0
1973-03-28,0.0,16.5,16.0,16.5,5.646592140197754,33800.0
1973-03-29,0.0,16.5,16.3125,16.3125,5.582426071166992,38800.0
1973-03-30,0.0,16.0625,15.75,15.8125,5.411318778991699,24400.0
1973-04-02,0.0,15.5,15.4375,15.4375,5.282987594604492,20800.0
1973-04-03,0.0,15.375,15.0,15.0625,5.1546525955200195,33200.0
1973-04-04,0.0,15.125,14.75,15.0,5.133265018463135,16800.0
1973-04-05,0.0,15.0625,14.625,15.0,5.133265018463135,27200.0
1973-04-06,0.0,15.5,14.75,15.0,5.133265018463135,29600.0
1973-04-09,0.0,15.0625,14.875,14.875,5.090488433837891,46200.0
1973-04-10,0.0,15.375,15.0,15.25,5.218819618225098,34600.0
1973-04-11,0.0,15.75,15.375,15.75,5.389927387237549,18200.0
1973-04-12,0.0,16.5,15.8125,16.125,5.518258571624756,20200.0
1973-04-13,0.0,16.625,16.0,16.5625,5.667981147766113,14800.0
1973-04-16,0.0,16.6875,16.125,16.125,5.518258571624756,18200.0
1973-04-17,0.0,16.5,16.25,16.5,5.646592140197754,16000.0
1973-04-18,0.0,16.5,16.375,16.375,5.603814601898193,16600.0
1973-04-19,0.0,16.75,16.5,16.5,5.646592140197754,19800.0
1973-04-23,0.0,16.0,15.875,15.875,5.432704925537109,59200.0
1973-04-24,0.0,15.9375,15.75,15.75,5.389927387237549,6200.0
1973-04-25,0.0,15.75,15.0,15.0,5.133265018463135,57000.0
