Date,Open,High,Low,Close,Adj Close,Volume
1988-06-22,0.0,4.75,4.625,4.625,2.7618043422698975,18200.0
1988-06-23,0.0,4.5,4.25,4.25,2.5378735065460205,51100.0
1988-06-24,0.0,4.375,4.375,4.375,2.6125171184539795,11800.0
1988-06-27,0.0,4.375,4.25,4.25,2.5378735065460205,13200.0
1988-06-28,0.0,4.25,4.0,4.0,2.388587474822998,16200.0
1988-06-29,0.0,4.25,4.125,4.125,2.463231086730957,8900.0
1988-06-30,0.0,4.5,4.375,4.375,2.6125171184539795,47300.0
1988-07-01,0.0,4.875,4.75,4.75,2.836446762084961,29100.0
1988-07-05,0.0,4.875,4.625,4.625,2.7618043422698975,14000.0
1988-07-06,0.0,4.625,4.5,4.5,2.6871602535247803,20000.0
1988-07-07,0.0,4.625,4.5,4.5,2.6871602535247803,6900.0
1988-07-08,0.0,4.5,4.375,4.375,2.6125171184539795,9300.0
1988-07-11,0.0,4.5,4.375,4.375,2.6125171184539795,31400.0
1988-07-12,0.0,4.625,4.375,4.375,2.6125171184539795,3600.0
1988-07-13,0.0,4.625,4.5,4.5,2.6871602535247803,2800.0
1988-07-14,0.0,4.625,4.375,4.375,2.6125171184539795,26400.0
1988-07-15,0.0,4.625,4.375,4.375,2.6125171184539795,13000.0
1988-07-18,0.0,4.5,4.25,4.25,2.5378735065460205,10500.0
1988-07-19,0.0,4.375,4.125,4.125,2.463231086730957,7500.0
1988-07-20,0.0,4.125,3.875,3.875,2.313944101333618,31400.0
1988-07-21,0.0,4.125,4.0,4.0,2.388587474822998,13200.0
1988-07-22,0.0,4.125,3.875,3.875,2.313944101333618,21100.0
1988-07-25,0.0,4.125,3.875,3.875,2.313944101333618,2000.0
1988-07-26,0.0,4.0,3.875,3.875,2.313944101333618,26900.0
1988-07-27,0.0,4.0,3.875,3.875,2.313944101333618,1900.0
1988-07-28,0.0,4.0,3.875,3.875,2.313944101333618,10300.0
1988-07-29,0.0,4.0,3.875,3.875,2.313944101333618,14200.0
1988-08-01,0.0,4.125,4.0,4.0,2.388587474822998,19700.0
1988-08-02,0.0,4.125,3.875,3.875,2.313944101333618,17500.0
1988-08-03,0.0,4.0,3.75,3.75,2.239300012588501,33600.0
1988-08-04,0.0,3.875,3.625,3.625,2.1646568775177,1300.0
1988-08-05,0.0,3.875,3.75,3.75,2.239300012588501,2900.0
1988-08-08,0.0,3.875,3.75,3.75,2.239300012588501,9400.0
1988-08-09,0.0,3.625,3.5,3.5,2.0900142192840576,26000.0
1988-08-10,0.0,3.375,3.25,3.25,1.9407280683517456,41100.0
1988-08-11,0.0,3.5,3.375,3.375,2.0153701305389404,8900.0
1988-08-12,0.0,3.5,3.375,3.375,2.0153701305389404,2000.0
1988-08-15,0.0,3.375,3.25,3.25,1.9407280683517456,12500.0
1988-08-16,0.0,3.375,3.125,3.125,1.8660839796066284,13700.0
1988-08-17,0.0,2.875,2.75,2.75,1.6421536207199097,43200.0
